start_idx,end_idx,start_time,end_time,duration,dip_length_frames,area_under_curve,upslope_count,upslope_total_length,upslope_avg_length,flatslope_length,downslope_count,downslope_total_length,downslope_avg_length,arc_length,max_depth,avg_depth
330,340,16264,17046,782,11,1840.0,0,0,0.0,10,0,0,0.0,10.0,184,184.0
616,746,31466,41336,9870,131,17138.0,7,8,1.1428571428571428,112,6,10,1.6666666666666667,425.8616315202573,198,131.37404580152673
910,1108,55611,65392,9781,199,38303.5,35,40,1.1428571428571428,122,33,36,1.0909090909090908,411.89712407225403,197,193.4572864321608
1670,1681,102133,103093,960,12,1430.0,0,0,0.0,11,0,0,0.0,11.0,130,130.0
1695,1789,104246,110100,5854,95,17914.5,8,9,1.125,80,5,5,1.0,134.38495609816428,198,190.57894736842104
14025,14139,678522,685077,6555,115,19237.0,24,31,1.2916666666666667,54,25,29,1.16,1068.2321763468751,198,168.5391304347826
14141,14225,685184,691585,6401,85,14019.0,5,5,1.0,73,3,6,2.0,549.9429926817288,189,165.9764705882353
15687,15872,765273,773681,8408,186,28465.5,52,69,1.3269230769230769,49,49,67,1.3673469387755102,3301.2393706109688,197,153.8763440860215
15875,15910,773850,776264,2414,36,5068.0,4,6,1.5,22,6,7,1.1666666666666667,310.5594608664389,164,144.41666666666666
15928,15949,777736,779010,1274,22,3973.5,3,3,1.0,10,5,8,1.6,77.10635063238377,197,189.27272727272728
18154,18173,884208,884981,773,20,3614.0,5,6,1.2,8,5,5,1.0,146.24821570093033,196,190.3
18175,18180,885077,885283,206,6,906.0,1,1,1.0,2,1,2,2.0,14.44193613341567,184,181.66666666666666
18182,18203,885378,886286,908,22,3972.0,5,7,1.4,4,6,10,1.6666666666666667,142.86496789192157,196,189.04545454545453
18205,18211,886381,886629,248,7,1126.0,2,3,1.5,0,2,3,1.5,19.33593554974268,190,187.14285714285714
18217,18262,886903,888808,1905,46,8336.0,10,19,1.9,13,10,13,1.3,252.6944005882764,195,185.26086956521738
