start_idx,end_idx,start_time,end_time,duration,dip_length_frames,area_under_curve,upslope_count,upslope_total_length,upslope_avg_length,flatslope_length,downslope_count,downslope_total_length,downslope_avg_length,arc_length,max_depth,avg_depth
7968,7983,367889,368727,838,16,1797.5,4,4,1.0,6,4,5,1.25,400.9670578063873,141,116.75
7985,8014,368832,370505,1673,30,4691.5,5,5,1.0,20,3,4,1.3333333333333333,115.56953018185912,184,161.16666666666666
9915,9951,460197,461688,1491,37,6527.5,1,1,1.0,34,1,1,1.0,201.0120486168122,184,181.21621621621622
9953,9963,461783,462207,424,11,1630.0,2,4,2.0,3,3,3,1.0,125.48555493042117,184,161.63636363636363
9965,9977,462315,462804,489,13,2299.5,4,6,1.5,3,3,3,1.0,47.7315783797847,197,191.30769230769232
9979,9991,462899,463410,511,13,1963.0,2,9,4.5,1,2,2,1.0,66.64089342644394,184,163.23076923076923
9998,10011,463733,464359,626,14,1697.5,1,13,13.0,0,0,0,0.0,34.49064013333691,149,130.78571428571428
10022,10026,464914,465117,203,5,69.5,1,1,1.0,0,1,3,3.0,11.91157871363405,21,17.599999999999994
10147,10200,471666,474136,2470,54,5971.5,3,14,4.666666666666667,6,4,33,8.25,213.36047030903555,143,111.55555555555556
10696,10701,501037,501322,285,6,353.5,1,1,1.0,2,1,2,2.0,111.83309991990967,125,70.66666666666666
10705,10711,501525,501810,285,7,402.5,1,1,1.0,1,2,4,2.0,127.19187415409365,140,68.71428571428572
10735,10742,503059,503362,303,8,1008.0,1,1,1.0,5,1,1,1.0,9.576491222541474,145,143.875
10749,10811,503741,506508,2767,63,9375.5,15,20,1.3333333333333333,18,18,24,1.3333333333333333,246.34946393906475,178,151.20634920634922
10834,10853,507671,508493,822,20,2768.5,6,8,1.3333333333333333,6,5,5,1.0,72.90900632083617,151,145.6
10908,10913,511288,511509,221,6,672.0,2,2,1.0,0,2,3,1.5,13.38332561004399,137,134.33333333333331
10935,10941,512616,512881,265,7,819.5,1,2,2.0,1,2,3,1.5,15.097942485827305,140,136.14285714285714
10970,10976,514382,514647,265,7,812.5,2,2,1.0,1,2,3,1.5,13.210904837709434,137,135.14285714285714
10998,11007,515712,516150,438,10,1301.5,3,4,1.3333333333333333,3,2,2,1.0,63.05002214077936,164,144.2
11009,11015,516248,516514,266,7,818.5,3,3,1.0,1,2,2,1.0,20.924132256626066,140,136.14285714285714
11026,11031,517073,517322,249,6,187.5,1,2,2.0,1,1,2,2.0,214.65980513344712,122,33.83333333333334
11034,11072,517474,519118,1644,39,5598.5,7,9,1.2857142857142858,9,10,20,2.0,113.26810763073856,174,147.17948717948718
11078,11088,519400,519817,417,11,1718.5,4,4,1.0,1,3,5,1.6666666666666667,324.47855844601344,194,164.0909090909091
11107,11155,520809,522855,2046,49,7899.0,13,21,1.6153846153846154,10,12,17,1.4166666666666667,1289.7195858752234,193,162.9591836734694
11164,11183,523320,524097,777,20,3549.0,5,7,1.4,5,5,7,1.4,385.79792680547627,198,187.25
11185,11204,524191,525020,829,20,3487.0,5,7,1.4,4,6,8,1.3333333333333333,361.51095008574714,198,184.1
11218,11227,525669,526041,372,10,1642.5,3,5,1.6666666666666667,1,2,3,1.5,96.85773991185435,194,183.2
11260,11273,527706,528261,555,14,2063.5,2,2,1.0,8,3,3,1.0,18.60181429023674,160,158.64285714285714
11387,11394,534295,534643,348,8,186.0,2,2,1.0,1,3,4,1.3333333333333333,147.07466488762464,156,34.0
11435,11440,536722,536942,220,6,651.0,2,3,1.5,0,2,2,1.0,7.89292222699217,131,130.16666666666669
11474,11491,538602,539437,835,18,882.5,4,8,2.0,5,4,4,1.0,534.2939882590712,141,53.388888888888886
11493,11498,539536,539768,232,6,485.5,1,1,1.0,1,2,3,1.5,208.6600861681493,119,100.33333333333333
12509,12523,594560,595324,764,15,1555.5,2,2,1.0,5,2,7,3.5,144.907798136861,144,109.6
14326,14350,693169,694252,1083,25,2796.5,2,4,2.0,4,2,16,8.0,159.47562332079798,147,114.72
22683,22701,1146452,1147312,860,19,2071.0,1,1,1.0,3,2,14,7.0,95.19117955376952,139,113.94736842105263
23940,23965,1214509,1215687,1178,26,2113.0,2,9,4.5,2,2,14,7.0,141.5098452445067,108,82.88461538461539
24168,24212,1226698,1228819,2121,45,3613.0,1,12,12.0,4,3,28,9.333333333333334,158.98065595312582,113,81.15555555555555
28433,28465,1457961,1459428,1467,33,3312.0,1,8,8.0,4,3,20,6.666666666666667,157.71998258932106,134,102.15151515151516
28489,28515,1460714,1461984,1270,27,2230.0,2,8,4.0,3,3,15,5.0,185.95844844920225,116,83.5925925925926
31125,31150,1603649,1604817,1168,26,2220.5,3,9,3.0,3,2,13,6.5,186.67008618204986,117,86.46153846153847
31220,31248,1608625,1609909,1284,29,2886.0,2,8,4.0,3,3,17,5.666666666666667,152.63215655164976,131,101.55172413793103
34815,34859,1803486,1805412,1926,45,6108.0,5,12,2.4,4,4,28,7.0,231.85275877749086,171,137.24444444444444
34966,35012,1811201,1813286,2085,47,6093.0,4,10,2.5,8,2,28,14.0,300.8932975358556,168,130.53191489361703
36859,36899,1913492,1915356,1864,41,3646.5,1,10,10.0,5,4,25,6.25,153.70356063456123,120,90.1219512195122
36938,36971,1917501,1919054,1553,34,2730.0,2,8,4.0,2,2,23,11.5,154.6156304844139,116,81.52941176470588
40837,40865,2128895,2130170,1275,29,3089.0,3,8,2.6666666666666665,4,2,16,8.0,193.0531754309638,143,108.27586206896552
45128,45158,2361528,2362931,1403,31,2665.0,1,7,7.0,3,2,20,10.0,140.95213446776563,118,87.61290322580645
48153,48177,2525517,2526634,1117,25,2206.5,2,7,3.5,2,2,15,7.5,136.22579826946503,118,90.4
48229,48253,2529475,2530592,1117,25,2168.5,4,11,2.75,0,4,13,3.25,160.33920563473112,114,88.72
48285,48309,2532308,2533452,1144,25,2675.0,1,4,4.0,3,2,17,8.5,173.65676808524364,146,109.48
49217,49250,2582710,2584253,1543,34,2881.0,1,9,9.0,4,3,20,6.666666666666667,158.31770210211653,117,85.97058823529412
52261,52283,2747739,2748761,1022,23,2045.0,2,9,4.5,2,1,11,11.0,136.634404626539,119,91.21739130434783
56192,56209,2960958,2961784,826,18,1890.5,3,6,2.0,2,2,9,4.5,149.17356539142978,139,109.11111111111111
58451,58489,3083422,3085106,1684,39,4899.5,5,12,2.4,5,4,21,5.25,186.0894338254392,165,127.74358974358974
58690,58694,3096007,3096203,196,5,196.0,0,0,0.0,0,1,4,4.0,32.25426899315039,64,48.80000000000001
58697,58701,3096357,3096591,234,5,363.5,0,0,0.0,1,1,3,3.0,20.326977864578335,96,90.0
58703,58708,3096693,3096925,232,6,451.5,2,2,1.0,0,2,3,1.5,103.69539188182762,103,89.0
61173,61183,3230635,3231102,467,11,870.5,2,2,1.0,3,3,5,1.6666666666666667,275.0919231201502,128,86.54545454545455
61200,61209,3232129,3232550,421,10,732.0,3,4,1.3333333333333333,2,3,3,1.0,536.6000865243082,126,80.1
61228,61236,3233532,3233918,386,9,482.0,2,5,2.5,1,2,2,1.0,55.24470764136463,65,58.0
61270,61275,3235713,3235939,226,6,593.5,1,3,3.0,0,1,2,2.0,68.05948012371842,127,114.5
61311,61339,3237905,3239141,1236,29,3753.5,7,9,1.2857142857142858,2,7,17,2.4285714285714284,295.98575523454394,183,133.55172413793105
61341,61356,3239238,3239883,645,16,2266.0,4,5,1.25,4,5,6,1.2,75.44942657883239,160,151.3125
61358,61367,3239979,3240407,428,10,1431.0,3,3,1.0,3,2,3,1.5,13.128990204491961,160,159.1
61372,61377,3240644,3240902,258,6,778.5,1,1,1.0,2,2,2,1.0,35.2288704169142,159,156.0
61379,61387,3240999,3241431,432,9,1260.0,2,4,2.0,3,1,1,1.0,20.23458242770424,160,157.44444444444446
61394,61408,3241750,3242381,631,15,2485.0,5,6,1.2,2,5,6,1.2,147.97024902674104,192,177.4
61410,61423,3242476,3243011,535,14,2413.0,3,4,1.3333333333333333,1,4,8,2.0,160.83163555064215,195,186.14285714285714
61425,61431,3243105,3243353,248,7,1094.0,2,2,1.0,3,1,1,1.0,67.08477824598015,195,182.57142857142858
61433,61448,3243447,3244076,629,16,2626.5,6,7,1.1666666666666667,2,5,6,1.2,345.41182235863346,195,176.0
61450,61458,3244170,3244503,333,9,1433.5,3,3,1.0,2,3,3,1.0,187.15450107070043,194,180.66666666666666
61460,61469,3244598,3244975,377,10,1566.0,2,3,1.5,3,3,3,1.0,269.1359197276107,195,175.0
61482,61674,3245599,3254027,8428,193,36586.0,46,56,1.2173913043478262,84,39,52,1.3333333333333333,849.7223847055166,197,190.53886010362694
61681,61710,3254352,3255871,1519,30,5373.5,3,4,1.3333333333333333,20,4,5,1.25,49.31142809371555,194,185.53333333333333
61712,61786,3255965,3259366,3401,75,13955.5,21,31,1.4761904761904763,13,18,30,1.6666666666666667,343.5657500308139,195,188.66666666666666
61788,61810,3259475,3260420,945,23,4165.0,1,1,1.0,19,2,2,1.0,397.0318686210801,198,189.26086956521738
61813,61822,3260568,3260934,366,10,1743.0,1,2,2.0,5,1,2,2.0,15.935664825658925,197,193.9
61855,61876,3262605,3263804,1199,22,3631.0,7,9,1.2857142857142858,10,2,2,1.0,107.98767531504114,184,172.9090909090909
