corrected_time_s,distance_m
0.0,225
0.054,225
0.108,225
0.162,225
0.215,225
0.269,225
0.323,225
0.377,225
0.43,225
0.484,225
0.538,225
0.592,225
0.645,225
0.699,225
0.753,225
0.807,225
0.861,225
0.914,226
0.968,225
1.022,226
1.076,225
1.129,225
1.183,226
1.237,226
1.291,225
1.344,225
1.398,226
1.452,226
1.506,225
1.559,225
1.613,225
1.667,225
1.721,226
1.774,226
1.828,226
1.882,226
1.936,226
1.989,225
2.043,226
2.097,226
2.151,226
2.205,225
2.258,225
2.312,226
2.366,226
2.42,226
2.473,226
2.527,226
2.581,226
2.635,226
2.688,225
2.742,225
2.796,226
2.85,225
2.903,225
2.957,225
3.011,225
3.065,225
3.118,225
3.172,225
3.226,226
3.28,225
3.333,225
3.387,225
3.441,225
3.495,225
3.549,225
3.602,226
3.656,225
3.71,226
3.764,225
3.817,225
3.871,225
3.973,225
4.027,226
4.08,225
4.134,226
4.188,226
4.242,225
4.295,225
4.349,226
4.403,226
4.457,225
4.51,226
4.564,226
4.618,225
4.672,226
4.725,225
4.779,225
4.833,226
4.887,226
4.941,225
4.994,226
5.048,225
5.102,225
5.156,226
5.209,225
5.263,226
5.317,226
5.371,226
5.424,225
5.478,225
5.532,226
5.586,225
5.639,226
5.693,225
5.747,225
5.801,225
5.854,225
5.908,226
5.962,225
6.016,225
6.069,225
6.123,225
6.177,225
6.231,225
6.285,225
6.338,225
6.392,225
6.446,226
6.496,159
6.545,152
6.594,147
6.643,141
6.691,136
6.739,131
6.787,126
6.834,121
6.881,116
6.928,112
6.975,109
7.022,107
7.068,105
7.114,104
7.159,100
7.205,96
7.251,91
7.297,87
7.342,82
7.387,79
7.432,75
7.476,71
7.52,68
7.564,65
7.609,64
7.653,63
7.697,62
7.741,62
7.785,62
7.829,62
7.873,62
7.918,61
7.962,60
8.006,59
8.05,58
8.093,57
8.136,57
8.179,57
8.223,58
8.266,59
8.31,60
8.354,62
8.399,64
8.443,66
8.487,67
8.531,68
8.576,70
8.622,105
8.668,104
8.714,107
8.76,100
8.806,108
8.854,116
8.966,136
9.02,225
9.073,224
9.127,224
9.181,224
9.235,225
9.288,224
9.342,225
9.396,225
9.45,225
9.503,225
9.557,225
9.611,225
9.665,225
9.718,225
9.772,226
9.826,226
9.88,225
9.933,225
9.987,225
10.041,225
10.095,225
10.149,225
10.202,225
10.256,225
10.31,226
10.364,225
10.417,225
10.471,225
10.525,225
10.579,225
10.632,225
10.686,225
10.74,225
10.794,225
10.847,225
10.901,225
10.955,225
11.009,226
