rak_idx,rak_time,rak_depth,mapped_time,cv_time,cv_vehicles,time_error,is_match
0,503.741,213.0,582.241,673.461367,1.0,91.22036700000001,False
1,515.712,189.0,594.212,673.461367,1.0,79.249367,False
2,517.474,199.95,595.974,673.461367,1.0,77.48736699999995,False
3,519.4,220.0,597.9,673.461367,1.0,75.56136700000002,False
4,520.809,209.45,599.309,673.461367,1.0,74.15236700000003,False
5,523.32,220.0,601.82,673.461367,1.0,71.64136699999995,False
6,524.191,212.9,602.691,673.461367,1.0,70.77036699999996,False
7,525.669,208.55,604.169,673.461367,1.0,69.29236700000001,False
8,527.706,185.0,606.206,673.461367,1.0,67.25536699999998,False
9,534.295,181.0,612.795,673.461367,1.0,60.66636700000004,False
10,1803.486,197.0,1881.986,1889.858255,1.0,7.872254999999996,False
11,1811.201,193.0,1889.701,1889.858255,1.0,0.15725500000007742,True
12,3083.422,190.0,3161.922,2830.570958,1.0,-331.35104200000023,False
13,3237.905,209.0,3316.405,2830.570958,1.0,-485.8340420000004,False
14,3239.238,181.15,3317.738,2830.570958,1.0,-487.16704200000004,False
15,3239.979,183.35,3318.479,2830.570958,1.0,-487.908042,False
16,3240.644,186.3,3319.144,2830.570958,1.0,-488.573042,False
17,3240.999,188.15,3319.499,2830.570958,1.0,-488.928042,False
18,3241.75,220.0,3320.25,2830.570958,1.0,-489.6790420000002,False
19,3242.476,211.2,3320.976,2830.570958,1.0,-490.4050420000003,False
20,3243.105,209.95,3321.605,2830.570958,1.0,-491.0340420000002,False
21,3243.447,210.5,3321.947,2830.570958,1.0,-491.3760420000003,False
22,3244.17,208.55,3322.67,2830.570958,1.0,-492.0990420000003,False
23,3244.598,209.2,3323.098,2830.570958,1.0,-492.52704200000016,False
24,3245.599,220.0,3324.099,2830.570958,1.0,-493.52804200000037,False
25,3254.352,212.95,3332.852,2830.570958,1.0,-502.28104200000007,False
26,3255.965,214.75,3334.465,2830.570958,1.0,-503.89404200000035,False
27,3259.475,220.0,3337.975,2830.570958,1.0,-507.4040420000001,False
28,3260.568,220.0,3339.068,2830.570958,1.0,-508.4970420000004,False
29,3262.605,212.0,3341.105,2830.570958,1.0,-510.5340420000002,False
30,3263.9,185.2,3342.4,2830.570958,1.0,-511.8290420000003,False
31,3265.157,199.0,3343.657,2830.570958,1.0,-513.0860420000004,False
32,3267.579,182.95,3346.079,2830.570958,1.0,-515.5080420000004,False
33,3270.596,218.0,3349.096,2830.570958,1.0,-518.5250420000002,False
34,3270.989,206.15,3349.489,2830.570958,1.0,-518.9180420000002,False
35,3276.413,180.0,3354.913,2830.570958,1.0,-524.3420420000002,False
36,3281.909,214.75,3360.409,2830.570958,1.0,-529.8380420000003,False
