offset,match_count,mean_abs_error,median_abs_error
60.0,0,inf,inf
60.5,0,inf,inf
61.0,0,inf,inf
61.5,0,inf,inf
62.0,0,inf,inf
62.5,0,inf,inf
63.0,0,inf,inf
63.5,0,inf,inf
64.0,0,inf,inf
64.5,0,inf,inf
65.0,0,inf,inf
65.5,0,inf,inf
66.0,0,inf,inf
66.5,0,inf,inf
67.0,0,inf,inf
67.5,0,inf,inf
68.0,0,inf,inf
68.5,0,inf,inf
69.0,0,inf,inf
69.5,0,inf,inf
70.0,0,inf,inf
70.5,0,inf,inf
71.0,0,inf,inf
71.5,0,inf,inf
72.0,0,inf,inf
72.5,0,inf,inf
73.0,0,inf,inf
73.5,0,inf,inf
74.0,0,inf,inf
74.5,0,inf,inf
75.0,0,inf,inf
75.5,0,inf,inf
76.0,0,inf,inf
76.5,1,2.1572550000000774,2.1572550000000774
77.0,1,1.6572550000000774,1.6572550000000774
77.5,1,1.1572550000000774,1.1572550000000774
78.0,1,0.6572550000000774,0.6572550000000774
78.5,1,0.15725500000007742,0.15725500000007742
79.0,1,0.3427449999999226,0.3427449999999226
79.5,1,0.19052899999996953,0.19052899999996953
80.0,1,0.30947100000003047,0.30947100000003047
