start_idx,end_idx,start_time,end_time,duration,dip_length_frames,area_under_curve,upslope_count,upslope_total_length,upslope_avg_length,flatslope_length,downslope_count,downslope_total_length,downslope_avg_length,arc_length,max_depth,avg_depth,detection_type
330,340,16.264,17.046,0.782,11,2060.0,0,0,0.0,10,0,0,0.0,10.0,206.0,206.0,None
616,746,31.466,41.336,9.87,131,49378.0,7,8,1.1428571428571428,112,6,10,1.6666666666666667,425.8616315202573,446.0,379.37404580152673,People
910,1108,55.611,65.392,9.781,199,49787.5,35,40,1.1428571428571428,122,33,36,1.0909090909090908,411.897124072254,255.0,251.4572864321608,People
1670,1681,102.133,103.093,0.96,12,4004.0,0,0,0.0,11,0,0,0.0,11.0,364.0,364.0,People
1695,1789,104.246,110.1,5.854,95,37466.5,8,9,1.125,80,5,5,1.0,134.38495609816428,406.0,398.578947368421,People
14025,14139,678.522,685.077,6.555,115,43291.0,24,31,1.2916666666666667,54,25,29,1.16,1068.2321763468751,409.0,379.5391304347826,None
14141,14225,685.184,691.585,6.401,85,22671.0,5,5,1.0,73,3,6,2.0,549.9429926817288,292.0,268.9764705882353,None
15687,15872,765.273,773.681,8.408,186,33266.25,52,69,1.3269230769230769,49,49,67,1.3673469387755102,3301.2393706109688,222.95,179.8263440860215,None
15875,15910,773.85,776.264,2.414,36,11823.0,4,6,1.5,22,6,7,1.1666666666666667,310.5594608664389,357.0,337.4166666666667,None
15928,15949,777.736,779.01,1.274,22,7081.5,3,3,1.0,10,5,8,1.6,77.10635063238377,345.0,337.27272727272725,None
18154,18173,884.208,884.981,0.773,20,3934.15,5,6,1.2,8,5,5,1.0,146.24821570093033,212.85,207.15,None
18175,18180,885.077,885.283,0.206,6,987.0,1,1,1.0,2,1,2,2.0,14.44193613341567,200.2,197.86666666666665,None
18182,18203,885.378,886.286,0.908,22,4317.449999999999,5,7,1.4,4,6,10,1.6666666666666667,142.86496789192157,212.45,205.4954545454545,None
18205,18211,886.381,886.629,0.248,7,1224.7,2,3,1.5,0,2,3,1.5,19.33593554974268,206.45,203.59285714285716,None
18217,18262,886.903,888.808,1.905,46,9078.5,10,19,1.9,13,10,13,1.3,252.6944005882764,211.5,201.76086956521735,None
18264,18281,888.903,889.607,0.704,18,3460.65,2,3,1.5,10,3,4,1.3333333333333333,92.96192699410445,207.45,202.28333333333333,None
18283,18377,889.703,893.586,3.883,95,19249.2,14,22,1.5714285714285714,53,15,19,1.2666666666666666,232.2077240592258,208.8,204.73684210526315,None
18379,18438,893.681,896.138,2.457,60,12046.75,16,18,1.125,21,17,20,1.1764705882352942,165.80359212923426,207.25,204.13333333333333,None
18441,18445,896.32,896.485,0.165,5,822.5,2,2,1.0,0,2,2,1.0,13.694261094210026,209.0,206.2,None
18447,18452,896.58,896.782,0.202,6,1034.75,2,2,1.0,1,2,2,1.0,10.048627177541055,208.55,206.88333333333333,None
18454,18478,896.877,897.863,0.986,25,4722.299999999999,8,10,1.25,5,6,9,1.5,276.25927399399666,208.2,196.92,None
18480,18530,897.958,900.085,2.127,51,9502.5,14,21,1.5,10,15,19,1.2666666666666666,1113.248684030597,212.25,189.3872549019608,None
18532,18570,900.183,901.776,1.593,39,9702.600000000004,11,13,1.181818181818182,8,11,17,1.5454545454545454,775.9925550032079,281.7,255.2897435897436,None
18891,18910,915.668,916.487,0.819,20,3906.0499999999993,5,8,1.6,6,4,5,1.25,223.8616529943125,213.45,205.55,None
19793,19859,954.776,957.661,2.885,67,12442.899999999998,20,29,1.45,13,19,24,1.263157894736842,1033.1919642133546,210.9,188.2880597014925,None
19866,19958,958.01,961.995,3.985,93,16615.900000000005,22,28,1.2727272727272727,40,22,24,1.0909090909090908,974.958386029437,219.45,180.2779569892473,None
19961,20091,962.148,967.673,5.525,131,26200.0,36,45,1.25,36,39,49,1.2564102564102564,2479.184961124745,220.0,201.41984732824423,None
20093,20125,967.767,969.163,1.396,33,6616.4,4,4,1.0,22,6,6,1.0,62.26209865816912,211.95,206.8590909090909,None
20129,20136,969.352,969.636,0.284,8,1467.85,2,3,1.5,2,2,2,1.0,13.57772817821186,211.55,209.425,None
21134,21162,1013.85,1015.121,1.271,29,3489.0,9,11,1.2222222222222223,8,8,9,1.125,73.26423754319337,127.25,124.6293103448276,None
21164,21178,1015.219,1015.858,0.639,15,1742.8999999999994,4,4,1.0,6,3,4,1.3333333333333333,24.34058317294659,127.35,124.61666666666666,None
21837,21842,1045.333,1045.569,0.236,6,540.25,1,2,2.0,0,2,3,1.5,20.2329617450509,114.95,107.95,None
21901,21910,1048.714,1049.128,0.414,10,1087.5,3,3,1.0,0,3,6,2.0,14.475986159153145,123.0,120.7,None
21912,21918,1049.228,1049.505,0.277,7,703.0,3,3,1.0,1,2,2,1.0,8.89292222699217,118.0,117.14285714285714,None
21953,21957,1051.344,1051.528,0.184,5,460.0,2,2,1.0,1,1,1,1.0,6.06449510224598,116.0,115.0,None
21981,21986,1052.796,1053.029,0.233,6,574.0,2,2,1.0,1,2,2,1.0,10.048627177541055,116.0,114.83333333333331,None
22124,22179,1060.433,1062.97,2.537,56,6819.5,7,16,2.2857142857142856,6,7,33,4.714285714285714,184.79540167050777,148.0,123.32142857142856,None
22304,22331,1069.764,1070.959,1.195,28,4136.0,2,7,3.5,2,2,18,9.0,219.8102913332792,188.0,150.67857142857144,None
22523,22529,1081.295,1081.541,0.246,7,1274.7,1,1,1.0,4,1,1,1.0,16.459574579560357,218.95,212.52142857142857,None
22532,22536,1081.689,1081.901,0.212,5,854.4,1,1,1.0,3,0,0,0.0,5.23606797749979,214.85,213.65,None
22583,22587,1084.334,1084.508,0.174,5,654.0,1,1,1.0,2,1,1,1.0,12.469598700510511,165.0,162.8,None
22777,22781,1094.608,1094.787,0.179,5,567.6999999999999,1,1,1.0,2,1,1,1.0,5.650281539872885,142.79999999999998,141.79999999999998,None
22803,22809,1095.919,1096.198,0.279,7,697.0,2,2,1.0,0,2,4,2.0,92.82107789297584,151.0,115.0,None
22811,22885,1096.296,1099.559,3.263,75,11447.1,11,13,1.181818181818182,42,14,19,1.3571428571428572,192.3151149372753,161.4,154.50666666666666,None
23564,23573,1135.901,1136.309,0.408,10,1202.5,3,4,1.3333333333333333,0,3,5,1.6666666666666667,58.81930203582309,162.0,134.3,None
23600,23604,1137.725,1137.901,0.176,5,598.5,1,1,1.0,1,1,2,2.0,32.66813299211668,154.0,147.4,None
